codigo,nombre
H18,Otros trastornos de la cornea
H18.0,Pigmentaciones y depositos en la cornea
H18.1,Queratopatia vesicular (ampollosa)
H18.4,Degeneracion de la cornea
H18.5,Distrofias hereditarias de la cornea
H18.6,Queratocono
H20,Iridociclitis
H20.0,Iridociclitis aguda y subaguda
H20.1,Iridociclitis cronica
H20.9,Iridociclitis no especificada
H21,Otros trastornos del iris y del cuerpo ciliar
H22,Trastornos del iris y del cuerpo ciliar en enfermedades clasificadas en otra parte
H25,Catarata senil
H25.0,Catarata senil incipiente
H25.1,Catarata senil nuclear
H25.2,Catarata senil tipo Morgagni
H25.8,Otras cataratas seniles
H25.9,Catarata senil no especificada
H26,Otras cataratas
H26.0,Catarata infantil juvenil y presenil
H26.1,Catarata traumatica
H26.2,Catarata complicada
H26.3,Catarata inducida por drogas
H26.4,Catarata residual
H26.9,Catarata no especificada
H27,Otros trastornos del cristalino
H27.0,Afaquia
H28,Cataratas y otros trastornos del cristalino en enfermedades clasificadas en otra parte
H30,Inflamacion coriorretiniana
H30.0,Inflamacion coriorretiniana focal
H30.9,Inflamacion coriorretiniana no especificada
H31,Otros trastornos de la coroides
H33,Desprendimiento y desgarro de la retina
H33.0,Desprendimiento de la retina con desgarro
H33.2,Desprendimiento seroso de la retina
H33.4,Desgarros de la retina sin desprendimiento
H34,Oclusion vascular de la retina
H34.0,Oclusion arterial transitoria de la retina
H34.1,Oclusion de la arteria central de la retina
H34.2,Otras oclusiones de la arteria retiniana
H34.8,Otras oclusiones vasculares retinianas
H35,Otros trastornos de la retina
H35.0,Retinopatias del fondo y cambios vasculares retinianos
H35.1,Retinopatia de la prematuridad
H35.2,Otras retinopatias proliferativas
H35.3,Degeneracion de la macula y del polo posterior
H35.4,Degeneracion periferica de la retina
H35.5,Distrofias hereditarias de la retina
H35.6,Hemorragia retiniana
H35.8,Otros trastornos especificados de la retina
H36,Trastornos de la retina en enfermedades clasificadas en otra parte
H36.0,Retinopatia diabetica
H40,Glaucoma
H40.0,Sospecha de glaucoma
H40.1,Glaucoma primario de angulo abierto
H40.2,Glaucoma primario de angulo cerrado
H40.3,Glaucoma secundario a traumatismo ocular
H40.4,Glaucoma secundario a inflamacion ocular
H40.5,Glaucoma secundario a otros trastornos del ojo
H40.6,Glaucoma secundario a drogas
H40.8,Otros glaucomas
H40.9,Glaucoma no especificado
H42,Glaucoma en enfermedades clasificadas en otra parte
H43,Trastornos del cuerpo vitreo
H43.1,Hemorragia del vitreo
H43.3,Otras opacidades del vitreo
H44,Trastornos del globo ocular
H44.0,Endoftalmitis purulenta
H44.1,Otras endoftalmitis
H46,Neuritis optica
H47,Otros trastornos del nervio optico [II par] y de las vias opticas
H47.0,Trastornos del nervio optico no clasificados en otra parte
H47.1,Edema de papila no especificado
H47.2,Atrofia optica
H49,Estrabismo paralitico
H49.0,Paralisis del nervio motor ocular comun [III par]
H49.1,Paralisis del nervio patetico [IV par]
H49.2,Paralisis del nervio motor ocular externo [VI par]
H50,Otros estrabismos
H50.0,Estrabismo convergente concomitante
H50.1,Estrabismo divergente concomitante
H50.3,Heterotropia intermitente
H50.9,Estrabismo no especificado
H51,Otros trastornos de los movimientos binoculares
H52,Trastornos de la acomodacion y de la refraccion
H52.0,Hipermetropia
H52.1,Miopia
H52.2,Astigmatismo
H52.3,Anisometropia y aniseiconia
H52.4,Presbicia
H52.5,Trastornos de la acomodacion
H52.6,Otros trastornos de la refraccion
H52.7,Trastorno de la refraccion no especificado
H53,Alteraciones de la vision
H53.0,Ambliopia ex anopsia
H53.1,Alteraciones visuales subjetivas
H53.2,Diplopia
H53.4,Defectos del campo visual
H53.5,Deficiencias de la vision cromatica
H53.6,Ceguera nocturna
H53.8,Otras alteraciones visuales
H53.9,Alteracion visual no especificada
H54,Ceguera y disminucion de la agudeza visual
H54.0,Ceguera binocular
H54.1,Ceguera de un ojo disminucion de la agudeza visual del otro
H54.2,Disminucion de la agudeza visual binocular
H54.3,Disminucion indeterminada de la agudeza visual de ambos ojos
H54.4,Ceguera de un ojo
H54.5,Disminucion de la agudeza visual de un ojo
H54.7,Disminucion de la agudeza visual no especificada
H57,Otros trastornos del ojo y sus anexos
H57.0,Anomalias de la funcion pupilar
H57.1,Dolor ocular
H58,Otros trastornos del ojo y sus anexos en enfermedades clasificadas en otra parte
H59,Trastornos del ojo y sus anexos consecutivos a procedimientos no clasificados en otra parte
H60,Otitis externa
H60.0,Absceso del oido externo
H60.1,Celulitis del oido externo
H60.3,Otras otitis externas infecciosas
H60.5,Otitis externa aguda no infecciosa
H60.9,Otitis externa no especificada
H61,Otros trastornos del oido externo
H61.0,Pericondritis del oido externo
H61.2,Cerumen impactado
H65,Otitis media no supurativa
H65.0,Otitis media aguda serosa
H65.1,Otras otitis medias agudas no supurativas
H65.2,Otitis media serosa cronica
H65.3,Otitis media mucosa cronica
H65.4,Otras otitis medias cronicas no supurativas
H65.9,Otitis media no supurativa sin otra especificacion
H66,Otitis media supurativa y la no especificada
H66.0,Otitis media supurativa aguda
H66.1,Otitis media tubotimpanica supurativa cronica
H66.2,Otitis media atico-antral supurativa cronica
H66.3,Otras otitis medias supurativas cronicas
H66.4,Otitis media supurativa sin otra especificacion
H66.9,Otitis media no especificada
H67,Otitis media en enfermedades clasificadas en otra parte
H68,Inflamacion y obstruccion de la trompa de Eustaquio
H69,Otros trastornos de la trompa de Eustaquio
H70,Mastoiditis y afecciones relacionadas
H70.0,Mastoiditis aguda
H70.1,Mastoiditis cronica
H71,Colesteatoma del oido medio
H72,Perforacion de la membrana timpanica
H72.0,Perforacion central de la membrana del timpano
H72.1,Perforacion atica de la membrana del timpano
H72.9,Perforacion de la membrana del timpano sin otra especificacion
H73,Otros trastornos de la membrana timpanica
H74,Otros trastornos del oido medio y de la apofisis mastoides
H74.0,Timpanosclerosis
H74.1,Enfermedad adhesiva del oido medio
H74.2,Discontinuidad y dislocacion de los huesecillos del oido
H74.3,Otras anormalidades adquiridas de los huesecillos del oido
H80,Otosclerosis
H80.0,Otosclerosis que afecta la ventana oval no obliterante
H80.9,Otosclerosis no especificada
H81,Trastornos de la funcion vestibular
H81.0,Enfermedad de Meniere
H81.1,Vertigo paroxistico benigno
H81.2,Neuronitis vestibular
H81.3,Otros vertigos perifericos
H81.4,Vertigo de origen central
H81.9,Trastorno de la funcion vestibular no especificado
H82,Sindromes vertiginosos en enfermedades clasificadas en otra parte
H83,Otros trastornos del oido interno
H83.0,Laberintitis
H83.1,Hipoacusia ototoxica
H83.2,Hipoacusia inducida por ruido
H83.9,Trastorno del oido interno no especificado
H90,Hipoacusia conductiva y neurosensorial
H90.0,Hipoacusia conductiva bilateral
H90.1,Hipoacusia conductiva unilateral con audicion irrestricta contralateral
H90.2,Hipoacusia conductiva sin otra especificacion
H90.3,Hipoacusia neurosensorial bilateral
H90.4,Hipoacusia neurosensorial unilateral con audicion irrestricta contralateral
H90.5,Hipoacusia neurosensorial sin otra especificacion
H90.6,Hipoacusia mixta conductiva y neurosensorial bilateral
H90.7,Hipoacusia mixta conductiva y neurosensorial unilateral con audicion irrestricta contralateral
H90.8,Hipoacusia mixta conductiva y neurosensorial sin otra especificacion
H91,Otras hipoacusias
H91.0,Hipoacusia ototoxica
H91.1,Presbiacusia
H91.2,Hipoacusia subita idiopatica
H91.3,Sordomudez no clasificada en otra parte
H91.8,Otras hipoacusias especificadas
H91.9,Hipoacusia no especificada
H92,Otalgia y secrecion del oido
H92.0,Otalgia
H92.1,Otorrea
H93,Otros trastornos del oido no clasificados en otra parte
H93.0,Trastornos degenerativos y vasculares del oido
H93.1,Tinnitus
H93.2,Otras percepciones auditivas anormales
H93.3,Trastornos del nervio acustico
H93.9,Trastorno del oido no especificado
H95,Trastornos del oido y de la apofisis mastoides consecutivos a procedimientos no clasificados en otra parte
I00,Fiebre reumatica sin mencion de complicacion cardiaca
I01,Fiebre reumatica con complicacion cardiaca
I01.0,Pericarditis reumatica aguda
I01.1,Endocarditis reumatica aguda
I01.2,Miocarditis reumatica aguda
I02,Corea reumatica
I05,Enfermedades reumaticas de la valvula mitral
I05.0,Estenosis mitral
I05.1,Insuficiencia mitral reumatica
I05.2,Estenosis mitral con insuficiencia
I05.9,Enfermedad de la valvula mitral no especificada
I06,Enfermedades reumaticas de la valvula aortica
I06.0,Estenosis aortica reumatica
I06.1,Insuficiencia aortica reumatica
I06.2,Estenosis aortica reumatica con insuficiencia
I07,Enfermedades reumaticas de la valvula tricuspide
I08,Enfermedades valvulares multiples
I09,Otras enfermedades reumaticas del corazon
I09.0,Miocarditis reumatica
I09.9,Enfermedad reumatica del corazon no especificada
I10,Hipertension esencial (primaria)
I11,Enfermedad cardiaca hipertensiva
I11.0,Enfermedad cardiaca hipertensiva con insuficiencia cardiaca (congestiva)
I11.9,Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca (congestiva)
I12,Enfermedad renal hipertensiva
I12.0,Enfermedad renal hipertensiva con insuficiencia renal
I12.9,Enfermedad renal hipertensiva sin insuficiencia renal
I13,Enfermedad cardiorrenal hipertensiva
I13.0,Enfermedad cardiorrenal hipertensiva con insuficiencia cardiaca (congestiva)
I13.1,Enfermedad cardiorrenal hipertensiva con insuficiencia renal
I13.2,Enfermedad cardiorrenal hipertensiva con insuficiencia cardiaca (congestiva) e insuficiencia renal
I13.9,Enfermedad cardiorrenal hipertensiva no especificada
I15,Hipertension secundaria
I15.0,Hipertension renovascular
I15.9,Hipertension secundaria no especificada
I20,Angina de pecho
I20.0,Angina inestable
I20.1,Angina de pecho con espasmo documentado
I20.8,Otras formas de angina de pecho
I20.9,Angina de pecho no especificada
I21,Infarto agudo del miocardio
I21.0,Infarto transmural agudo del miocardio de la pared anterior
I21.1,Infarto transmural agudo del miocardio de la pared inferior
I21.2,Infarto agudo transmural del miocardio de otros sitios
I21.3,Infarto transmural agudo del miocardio de sitio no especificado
I21.4,Infarto agudo del miocardio subendocardico
I21.9,Infarto agudo del miocardio sin otra especificacion
I22,Infarto subsecuente del miocardio
I23,Ciertas complicaciones presentes posteriores al infarto agudo del miocardio
I24,Otras enfermedades isquemicas agudas del corazon
I24.0,Trombosis coronaria que no resulta en infarto del miocardio
I24.8,Otras formas de enfermedad isquemica aguda del corazon
I24.9,Enfermedad isquemica aguda del corazon no especificada
I25,Enfermedad isquemica cronica del corazon
I25.0,Enfermedad cardiovascular aterosclerotica asi descrita
I25.1,Enfermedad aterosclerotica del corazon
I25.2,Infarto antiguo del miocardio
I25.3,Aneurisma cardiaco
I25.5,Cardiomiopatia isquemica
I25.8,Otras formas de enfermedad isquemica cronica del corazon
I25.9,Enfermedad isquemica cronica del corazon no especificada
I26,Embolia pulmonar
I26.0,Embolia pulmonar con mencion de cor pulmonale agudo
I26.9,Embolia pulmonar sin mencion de cor pulmonale agudo
I27,Otras enfermedades cardiopulmonares
I27.0,Hipertension pulmonar primaria
I27.2,Otras hipertensiones pulmonares secundarias
I27.9,Enfermedad cardiopulmonar no especificada
I28,Otras enfermedades de los vasos pulmonares
I30,Pericarditis aguda
I30.0,Pericarditis idiopatica aguda inespecifica
I30.9,Pericarditis aguda no especificada
I31,Otras enfermedades del pericardio
I31.0,Pericarditis cronica adhesiva
I31.1,Pericarditis constrictiva cronica
I31.3,Derrame pericardico (no inflamatorio)
I31.9,Enfermedad del pericardio no especificada
I33,Endocarditis aguda y subaguda
I33.0,Endocarditis infecciosa aguda y subaguda
I33.9,Endocarditis aguda no especificada
I34,Trastornos no reumaticos de la valvula mitral
I34.0,Insuficiencia (de la valvula) mitral
I34.1,Prolapso (de la valvula) mitral
I34.2,Estenosis (de la valvula) mitral no reumatica
I35,Trastornos no reumaticos de la valvula aortica
I35.0,Estenosis (de la valvula) aortica
I35.1,Insuficiencia (de la valvula) aortica
I35.2,Estenosis (de la valvula) aortica con insuficiencia
I35.9,Trastorno de la valvula aortica no especificado
I36,Trastornos no reumaticos de la valvula tricuspide
I37,Trastornos de la valvula pulmonar
I38,Endocarditis valvula no especificada
I39,Endocarditis y trastornos valvulares en enfermedades clasificadas en otra parte
I40,Miocarditis aguda
I40.0,Miocarditis infecciosa
I40.9,Miocarditis aguda no especificada
I41,Miocarditis en enfermedades clasificadas en otra parte
I42,Cardiomiopatia
I42.0,Cardiomiopatia dilatada
I42.1,Cardiomiopatia obstructiva hipertrofica
I42.2,Otra cardiomiopatia hipertrofica
I42.5,Otras cardiomiopatias restrictivas
I42.6,Cardiomiopatia alcoholica
I42.7,Cardiomiopatia debida a drogas y otros agentes externos
I42.9,Cardiomiopatia no especificada
I44,Bloqueo auriculoventricular y de rama izquierda del haz
I44.0,Bloqueo auriculoventricular de primer grado
I44.1,Bloqueo auriculoventricular de segundo grado
I44.2,Bloqueo auriculoventricular completo
I44.7,Bloqueo de rama izquierda del haz no especificado
I45,Otros trastornos de la conduccion
I45.0,Bloqueo de la rama derecha del haz
I45.1,Otros tipos y los no especificados de bloqueo de la rama derecha del haz
I45.6,Sindrome de pre-excitacion
I46,Paro cardiaco
I46.0,Paro cardiaco con resucitacion exitosa
I46.1,Muerte subita cardiaca asi descrita
I46.9,Paro cardiaco no especificado
I47,Taquicardia paroxistica
I47.0,Arritmia por reentrada ventricular
I47.1,Taquicardia supraventricular
I47.2,Taquicardia ventricular
I47.9,Taquicardia paroxistica no especificada
I48,Fibrilacion y aleteo auricular
I49,Otras arritmias cardiacas
I49.0,Fibrilacion y aleteo ventricular
I49.1,Despolarizacion prematura auricular
I49.3,Despolarizacion prematura ventricular
I49.5,Sindrome del seno enfermo
I49.8,Otras arritmias cardiacas especificadas
I49.9,Arritmia cardiaca no especificada
I50,Insuficiencia cardiaca
I50.0,Insuficiencia cardiaca congestiva
I50.1,Insuficiencia ventricular izquierda
I50.9,Insuficiencia cardiaca no especificada
I51,Complicaciones y descripciones mal definidas de enfermedad cardiaca
I51.4,Miocarditis no especificada
I51.6,Enfermedad cardiovascular no especificada
I51.7,Cardiomegalia
I51.9,Enfermedad cardiaca no especificada
I60,Hemorragia subaracnoidea
I60.9,Hemorragia subaracnoidea no especificada
I61,Hemorragia intraencefalica
I61.0,Hemorragia intraencefalica hemisferica subcortical
I61.1,Hemorragia intraencefalica hemisferica cortical
I61.3,Hemorragia intraencefalica del tallo cerebral
I61.4,Hemorragia intraencefalica cerebelosa
I61.5,Hemorragia intraencefalica intraventricular
I61.9,Hemorragia intraencefalica no especificada
I62,Otras hemorragias intracraneales no traumaticas
I62.0,Hemorragia subdural (aguda) (no traumatica)
I62.1,Hemorragia extradural no traumatica
I62.9,Hemorragia intracraneal (no traumatica) no especificada
I63,Infarto cerebral
I63.0,Infarto cerebral debido a trombosis de arterias precerebrales
I63.1,Infarto cerebral debido a embolia de arterias precerebrales
I63.2,Infarto cerebral debido a oclusion o estenosis no especificada de arterias precerebrales
I63.3,Infarto cerebral debido a trombosis de arterias cerebrales
I63.4,Infarto cerebral debido a embolia de arterias cerebrales
I63.5,Infarto cerebral debido a oclusion o estenosis no especificada de arterias cerebrales
I63.9,Infarto cerebral no especificado
I64,Accidente vascular encefalico agudo no especificado como hemorragico o isquemico
I65,Oclusion y estenosis de las arterias precerebrales sin ocasionar infarto cerebral
I65.0,Oclusion y estenosis de la arteria vertebral
I65.2,Oclusion y estenosis de la arteria carotida
I65.9,Oclusion y estenosis de arteria precerebral no especificada
I66,Oclusion y estenosis de las arterias cerebrales sin ocasionar infarto cerebral
I67,Otras enfermedades cerebrovasculares
I67.0,Diseccion de arterias cerebrales sin ruptura
I67.1,Aneurisma cerebral sin ruptura
I67.2,Aterosclerosis cerebral
I67.4,Encefalopatia hipertensiva
I67.8,Otras enfermedades cerebrovasculares especificadas
I67.9,Enfermedad cerebrovascular no especificada
I69,Secuelas de enfermedad cerebrovascular
I69.0,Secuelas de hemorragia subaracnoidea
I69.1,Secuelas de hemorragia intraencefalica
I69.3,Secuelas de infarto cerebral
I69.4,Secuelas de enfermedad cerebrovascular no especificada como hemorragica u oclusiva
I69.8,Secuelas de otras enfermedades cerebrovasculares y de las no especificadas
I70,Aterosclerosis
I70.0,Aterosclerosis de la aorta
I70.1,Aterosclerosis de la arteria renal
I70.2,Aterosclerosis de las arterias de los miembros
I70.9,Aterosclerosis generalizada y la no especificada
I71,Aneurisma y diseccion aorticos
I71.0,Diseccion de la aorta [cualquier parte]
I71.3,Aneurisma de la aorta abdominal roto
I71.4,Aneurisma de la aorta abdominal sin mencion de ruptura
I71.9,Aneurisma de la aorta sitio no especificado sin mencion de ruptura
I72,Otros aneurismas
I73,Otras enfermedades vasculares perifericas
I73.0,Sindrome de Raynaud
I73.1,Tromboangeitis obliterante [enfermedad de Buerger]
I73.8,Otras enfermedades vasculares perifericas especificadas
I73.9,Enfermedad vascular periferica no especificada
I74,Embolia y trombosis arteriales
I74.0,Embolia y trombosis de la aorta abdominal
I74.3,Embolia y trombosis de arterias de los miembros inferiores
I74.9,Embolia y trombosis de arteria no especificada
I77,Otros trastornos arteriales o arteriolares
I77.1,Estenosis de arteria
I77.6,Arteritis no especificada
I78,Enfermedades de los capilares
I78.0,Telangiectasia hemorragica hereditaria
I79,Trastornos de las arterias arteriolas y capilares en enfermedades clasificadas en otra parte
I80,Flebitis y tromboflebitis
I80.0,Flebitis y tromboflebitis de vasos superficiales de los miembros inferiores
I80.1,Flebitis y tromboflebitis de la vena femoral
I80.2,Flebitis y tromboflebitis de otros vasos profundos de los miembros inferiores
I80.3,Flebitis y tromboflebitis de los miembros inferiores no especificada
I80.9,Flebitis y tromboflebitis de sitio no especificado
I81,Trombosis de la vena porta
I82,Otra embolia y trombosis venosas
I82.0,Sindrome de Budd-Chiari
I82.9,Embolia y trombosis de vena no especificada
I83,Venas varicosas de los miembros inferiores
I83.0,Venas varicosas de los miembros inferiores con ulcera
I83.1,Venas varicosas de los miembros inferiores con inflamacion
I83.2,Venas varicosas de los miembros inferiores con ulcera e inflamacion
I83.9,Venas varicosas de los miembros inferiores sin ulcera ni inflamacion
I84,Hemorroides
I84.0,Hemorroides internas trombosadas
I84.1,Hemorroides internas con otras complicaciones
I84.2,Hemorroides internas sin complicacion
I84.3,Hemorroides externas trombosadas
I84.4,Hemorroides externas con otras complicaciones
I84.5,Hemorroides externas sin complicacion
